order	exp_id	vcf_id	DPI
1	ID11730	11730	HLJ
2	ID22971	22971	GD
3	IDW389	W389	F1
4	IDW390	W390	6
5	IDW391	W391	6
6	IDW392	W392	6
7	IDW399	W399	12
8	IDW400	W400	12
9	IDW401	W401	12
10	IDW414	W414	18
11	IDW415	W415	18
12	IDW416	W416	18
13	IDW422	W422	24
14	IDW423	W423	24
15	IDW424	W424	24
16	IDW428	W428	30
17	IDW429	W429	30
18	IDW430	W430	30
19	IDW434	W434	36
20	IDW435	W435	36
21	IDW436	W436	36
22	IDW482	W482	42
23	IDW483	W483	42
24	IDW484	W484	42
25	IDW487	W487	48
26	IDW488	W488	48
27	IDW489	W489	48
28	IDW490	W490	54
29	IDW491	W491	54
30	IDW497	W497	60
31	IDW498	W498	60
