CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
3	1	163073	163073	0	1	Inf	0.456394877613876	163073	0.456394877613876
4	2	320981	320981	0	1	Inf	-0.320841665942092	320981	-0.320841665942092
5	3	838123	895743	57620	3	52	-0.422425474254743	895743	-0.384335381219131
6	3	890729	1067230	176501	2	11	-0.297148334531512	890729	-0.278655727097539
7	4	33460	121178	87718	16	182	-0.255913240622211	102114	-0.249508963838088
7	5	473567	949932	476365	7	15	-0.390089814090442	949932	-0.341717065105215
7	6	1260643	1268667	8024	4	499	-0.280730885210829	1268667	-0.280272562343295
8	6	246363	246363	0	1	Inf	-0.33230198019802	246363	-0.33230198019802
8	7	830758	830758	0	1	Inf	0.290240163515585	830758	0.290240163515585
8	8	1034063	1034063	0	1	Inf	0.260315463819027	1034063	0.260315463819027
