CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	136286	105182	16	152	-0.506002169621299	31104	-0.341275996573715
1	2	844126	855001	10875	2	184	-0.199172279330571	855001	-0.193471916079869
2	3	98233	98245	12	3	250000	-0.149268878444258	98233	-0.149234069269746
3	4	76579	201734	125155	36	288	0.191260443594095	134908	0.163437360575028
4	5	551146	587056	35910	4	111	0.217241410981671	587056	0.205776687923072
4	6	655206	791159	135953	3	22	0.272421111696417	655206	0.215541034088567
4	7	890254	943332	53078	10	188	0.201587107745472	890254	0.161930410368987
4	8	1089461	1089461	0	1	Inf	-0.202205882352941	1089461	-0.202205882352941
5	9	627816	627816	0	1	Inf	-0.236097293217606	627816	-0.236097293217606
5	10	747783	780443	32660	4	122	0.168268431680673	747783	0.151884976301651
5	11	848024	896768	48744	5	103	0.145326053162061	852215	0.0288972821140631
6	12	910145	946007	35862	9	251	0.189531934136654	926355	0.166070821682896
6	13	1235753	1253071	17318	5	289	0.173356868392886	1243062	0.17175408367266
7	13	32597	129380	96783	27	279	-0.342369066573758	61650	-0.249147700241695
7	14	334563	337183	2620	3	1145	-0.130394873621587	334563	-0.128920735179793
7	15	422683	422683	0	1	Inf	0.151492293170639	422683	0.151492293170639
7	16	492153	509033	16880	5	296	0.183242872766759	493335	0.166262965909333
7	17	537185	559344	22159	3	135	0.184709047175685	554067	0.174700774096603
7	18	713340	808308	94968	6	63	0.207858512120131	735689	0.153460909928938
7	19	860410	932569	72159	4	55	0.171873252576191	875319	0.166443123937508
7	20	963897	1025871	61974	3	48	0.175950347188077	970131	0.154822890789249
8	21	26150	178552	152402	7	46	-0.442949160340465	81887	-0.322816053805331
8	22	246363	246363	0	1	Inf	-0.173856034252074	246363	-0.173856034252074
8	23	1252306	1252793	487	2	4107	-0.16068107303833	1252793	-0.160158188315617
