CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	303924	272820	17	62	-0.516368211296553	31104	-0.351978552578195
1	2	844126	855001	10875	2	184	-0.162926749728195	855001	-0.154582438480288
2	3	267621	282713	15092	3	199	0.156417598082896	267621	0.135741476456558
2	4	822759	822759	0	1	Inf	0.12968952957251	822759	0.12968952957251
3	5	339523	668648	329125	6	18	0.161954979182767	668648	0.102319012900467
3	6	1014545	1032375	17830	4	224	-0.176269614592466	1032375	-0.159220100261403
4	7	261851	294971	33120	5	151	-0.151326311009248	261851	-0.146631270478535
5	8	452244	902822	450578	33	73	-0.416218713289861	737858	-0.176245558049525
6	9	257738	274285	16547	6	363	0.147112892146048	257738	0.14385048102949
6	10	998208	998208	0	1	Inf	-0.138366993371951	998208	-0.138366993371951
6	11	1031627	1109275	77648	9	116	-0.147374017976346	1042552	-0.14044688298343
6	12	1148231	1148231	0	1	Inf	-0.124034180874948	1148231	-0.124034180874948
6	13	1149101	1184912	35811	49	1368	-0.199598949389766	1169196	-0.174485339146715
7	14	32597	185661	153064	39	255	-0.507016131763632	66127	-0.322390043346366
7	15	300162	422683	122521	30	245	0.229168553766537	301268	0.200386267504583
7	16	1073164	1079596	6432	4	622	0.251374847497459	1079596	0.225932491198202
8	17	26150	246363	220213	11	50	-0.432748538011696	132714	-0.229227002957813
8	18	445672	495313	49641	11	222	-0.17210391111944	445672	-0.147499816067869
8	19	606856	1050998	444142	107	241	0.272649525652216	1019097	0.1671870951599
8	20	1238422	1252793	14371	3	209	-0.170548425873409	1252793	-0.160873683088821
